Longitude;Latitude;District;Stability;Rainfall;Vegetation;River_Distance;Slope
106.69460757477864,-6.669178813771847,Sukaraja,0.28,5287.68,0.22,13.04,2.63
106.51550914062446,-6.686612525461792,Cibungbulang,0.05,5337.2,0.08,22.47,17.74
106.60141471195573,-6.583631998820063,Dramaga,0.18,5065.84,0.22,18.0,4.63
106.54802258519597,-6.686112631266783,Ciampea,0.04,5337.2,0.14,31.0,26.33
106.95826478999946,-6.59330815636801,Gunung Putri,0.04,4091.94,0.13,8.0,22.12
106.9959758745041,-6.666410286199131,0.03,4281.54,0.06,78.64,28.87
106.83625868620992,-6.591975748878369,0.52,4768.57,0.14,3.61,0.93
106.94362334891105,-6.523888018623766,0.04,3951.63,0.21,40.31,22.04
106.87849902213308,-6.522727377118073,0.28,4368.2,0.18,36.07,2.63
106.81783071117354,-6.582590396568095,0.26,4768.57,0.08,3.0,2.78
106.7019677508244,-6.664663589097964,0.12,5708.01,0.16,15.0,7.23
106.8499843237326,-6.6360069844221385,0.1,4717.31,0.14,3.61,8.54
106.75009468379156,-6.699255863976729,0.06,5889.08,0.04,23.0,16.56
106.9616280315072,-6.543499215808827,0.12,3702.62,0.25,24.76,7.04
106.510122915242,-6.560912101954532,0.07,4717.9,0.18,9.9,13.51
106.56677009946092,-6.675236353415643,0.04,5200.7,0.17,21.21,22.23
106.9289737869816,-6.611234692519969,0.04,4462.33,0.08,47.3,21.3
106.99737396162952,-6.520176001359098,0.1,3702.62,0.29,26.0,9.24
106.5399929944206,-6.515593398394625,0.03,4541.62,0.13,34.21,31.66
106.61225758714646,-6.55421985087817,0.1,5065.84,0.19,8.0,8.78
106.87040424245248,-6.687052491268796,0.18,4458.88,0.09,10.0,4.66
106.90420190981644,-6.542224027039143,0.08,3951.63,0.24,46.53,11.76
106.82320005890828,-6.642423485522431,0.12,5529.04,0.14,5.0,7.47
106.87341690720244,-6.638270203986831,0.18,4717.31,0.17,45.61,4.63
106.98258355603689,-6.521599951977652,0.08,3702.62,0.19,53.31,12.32
106.70960350740664,-6.655918528143697,0.18,5708.01,0.14,13.0,4.64
106.68571576830396,-6.509115618470132,0.25,5034.14,0.17,16.76,2.95
106.50100731178146,-6.597064468543213,0.1,4717.9,0.17,4.0,8.78
106.90257318116396,-6.631021138623423,0.08,4462.33,0.11,25.71,12.1
106.87865870970144,-6.618882690325396,0.13,4717.31,0.19,15.0,6.53
106.64988355235572,-6.689202118068281,0.17,5168.98,0.12,2.0,5.01
106.85738560110428,-6.61175971651769,0.18,4717.31,0.21,1.0,4.65
106.61889176901482,-6.656715170622539,0.11,5168.98,0.1,2.0,7.96
106.7735315167194,-6.541279629730677,0.09,5124.68,0.15,20.12,9.95
106.70556804632903,-6.658985957361548,0.05,5708.01,0.19,2.0,19.58
106.66366731537612,-6.612826345931168,0.43,5074.58,0.14,12.0,1.32
106.84450348289695,-6.506864334501438,0.35,4388.44,0.12,18.38,1.87
106.61203799011828,-6.615431450846314,0.04,5098.36,0.17,3.61,25.71
106.71062982869216,-6.5768937911531165,0.16,5483.16,0.18,9.9,5.25
106.6563143574522,-6.646224075707602,0.33,5074.58,0.21,6.4,2.08
106.58353909249622,-6.599927132661097,0.13,5091.43,0.15,21.93,6.69
106.97656422680608,-6.602879587845459,0.03,4318.33,0.08,14.21,29.12
106.62966798382932,-6.52586672527519,0.06,4875.82,0.18,11.0,14.39
106.54065029992545,-6.511103152495277,0.03,4541.62,0.14,20.52,36.37
106.96878921626924,-6.645802621707138,0.11,4318.33,0.06,25.0,8.39
106.58307820262104,-6.512047017949187,0.04,4811.53,0.15,6.0,27.06
106.8741258981406,-6.548271832896225,0.13,4368.2,0.23,3.61,6.51
106.9021872086898,-6.643313805254965,0.1,4462.33,0.11,35.85,9.11
106.89615116778523,-6.690810737138023,0.09,4458.88,0.1,20.25,10.52
106.6121327696736,-6.53648317050502,0.07,4875.82,0.16,4.0,13.46
